Area..sq.km.,Area_ha_mean,Area_ha_median,Area_ha_stddev
1643.0651,3.538034,1.339326,10.463098
1643.0651,3.538034,1.339326,10.463098
,4.849906,1.465578,17.179208
,4.849906,1.465578,17.179208
,4.849906,1.465578,17.179208
,4.849906,1.465578,17.179208
,4.849906,1.465578,17.179208
,4.849906,1.465578,17.179208
3544.3944,4.849906,1.465578,17.179208
3544.3944,4.849906,1.465578,17.179208
,4.849906,1.465578,17.179208
,4.849906,1.465578,17.179208
3544.3944,4.849906,1.465578,17.179208
,4.849906,1.465578,17.179208
,2.964179,1.201747,8.021138
,2.964179,1.201747,8.021138
,2.964179,1.201747,8.021138
,2.964179,1.201747,8.021138
,2.964179,1.201747,8.021138
2893.9073,2.964179,1.201747,8.021138
,2.964179,1.201747,8.021138
,2.964179,1.201747,8.021138
2893.9073,2.964179,1.201747,8.021138
,2.964179,1.201747,8.021138
,2.964179,1.201747,8.021138
,2.964179,1.201747,8.021138
381.8313,2.89434,1.207123,6.784985
2082.8939,2.89434,1.207123,6.784985
381.8313,2.89434,1.207123,6.784985
2082.8939,2.89434,1.207123,6.784985
381.8313,2.89434,1.207123,6.784985
2082.8939,2.89434,1.207123,6.784985
381.8313,2.89434,1.207123,6.784985
2082.8939,2.89434,1.207123,6.784985
5937.3376,3.392612,1.269872,10.264485
5937.3376,3.392612,1.269872,10.264485
5937.3376,3.392612,1.269872,10.264485
5937.3376,3.392612,1.269872,10.264485
5937.3376,3.392612,1.269872,10.264485
5937.3376,3.392612,1.269872,10.264485
5937.3376,3.392612,1.269872,10.264485
5937.3376,3.392612,1.269872,10.264485
5937.3376,3.392612,1.269872,10.264485
5937.3376,3.392612,1.269872,10.264485
5937.3376,3.392612,1.269872,10.264485
5937.3376,3.392612,1.269872,10.264485
,3.854449,1.342413,11.772448
5383.5801,3.854449,1.342413,11.772448
,3.854449,1.342413,11.772448
5383.5801,3.854449,1.342413,11.772448
,3.854449,1.342413,11.772448
5383.5801,3.854449,1.342413,11.772448
,3.854449,1.342413,11.772448
,3.854449,1.342413,11.772448
,3.854449,1.342413,11.772448
,3.854449,1.342413,11.772448
,3.854449,1.342413,11.772448
8037.3639,4.09811,1.387306,21.157936
8037.3639,4.09811,1.387306,21.157936
,4.030275,1.3857,12.368005
2546.7556,4.030275,1.3857,12.368005
