beta_Tax.ID,beta_Tax.post.mean,beta_Tax.post.sd,b_Smell.ID,b_Smell.post.mean,b_Smell.post.sd,b_Sound.ID,b_Sound.post.mean,b_Sound.post.sd,b_Colour.ID,b_Colour.post.mean,b_Colour.post.sd,b_Deadwood.ID,b_Deadwood.post.mean,b_Deadwood.post.sd,b_Smell2.ID,b_Smell2.post.mean,b_Smell2.post.sd,b_Sound2.ID,b_Sound2.post.mean,b_Sound2.post.sd,b_Colour2.ID,b_Colour2.post.mean,b_Colour2.post.sd,b_Deadwood2.ID,b_Deadwood2.post.mean,b_Deadwood2.post.sd
12,-0.125825148559406,0.0582488755981671,12,-0.721633237642149,0.593428476425048,12,-1.73644013673883,0.238560953796312,12,4.03958621700671,0.314901767325244,12,1.76028889724813,1.97655276170959,12,3.58691942039414,0.906409941886655,12,3.89254959125637,3.93201717869279,12,9.53083793754974,5.91006890032602,12,-7.13021848406701,3.12860280490862
13,-0.0356281712419715,0.0326968319728408,13,-0.792082612584621,0.607544920185443,13,-1.72757575859565,0.241300788992228,13,4.02560605734863,0.345387593783173,13,1.5933575646911,1.79087812709709,13,3.65888030180982,1.00332082355587,13,1.51066367832075,4.4248954138297,13,5.22687740290373,6.63481074744165,13,-5.51598677288438,3.10564751463378
14,-0.00974577866081981,0.011773840605162,14,-0.774084512789062,0.586543578570835,14,-1.72657754487944,0.24879465949815,14,4.03021045583599,0.334263245476407,14,1.39695737109297,1.75028872514771,14,3.57443929604136,0.958718383775783,14,2.44451649931157,4.20848381520639,14,8.18208375686897,6.89663300371332,14,-4.86956352983388,3.04293964300596
15,-21.3276297628947,127.712372400491,15,-0.738971815919484,0.574457323626295,15,-1.73659537385162,0.240325374022922,15,4.05284873179519,0.306254603510451,15,1.45584734039263,1.77227036371631,15,3.72364148244298,0.875109742119659,15,2.69291002436094,3.86987969347876,15,8.89278618647621,6.48026872500793,15,-4.53474419618863,3.30174253252024
16,-0.00427264890827512,0.0059887916337173,16,-0.769329911926826,0.54345476352135,16,-1.72765526643896,0.259401211573011,16,4.01655812102348,0.327444422589982,16,1.64237074845718,1.71286866794925,16,3.65797341655881,1.02220287266891,16,2.26113158736743,4.15016302927983,16,7.075667397004,6.95471110719038,16,-5.13990824336191,3.35034719716681
17,-0.00396640348911407,0.00569030268630506,17,-0.805845879566524,0.549895304656031,17,-1.7287387638261,0.252384805580044,17,4.03230409049594,0.341848465586238,17,1.60980608668845,1.79581036083785,17,3.67374137824898,0.995432458214772,17,2.17751941783464,4.24577275484567,17,6.99587703431504,7.1969026558777,17,-5.18155017357773,3.27728067384594
18,-0.00322420975795207,0.00469452936297007,18,-0.735826079440345,0.578853124042729,18,-1.71875490031973,0.243599695026441,18,4.02257118709936,0.349453837237993,18,1.52655138011641,1.80657067362163,18,3.61204273859069,1.00287246116814,18,2.3929067241495,4.31474044418909,18,7.40462213155234,6.90335433355682,18,-4.96765736831211,3.33627317245276
19,-0.118837801097682,0.0502635146892726,19,-0.697567372146072,0.585390171169707,19,-1.73605540171926,0.256377149162314,19,4.13078681483701,0.353818278791921,19,1.76180251715819,1.78324404952692,19,3.75213311580175,1.01674156227039,19,2.40969655756174,4.16119251872735,19,11.0330713590348,5.11986592574208,19,-4.028041503138,3.20939958082599
20,-0.00443013420817867,0.00617681063042535,20,-0.772717259921707,0.578681882099367,20,-1.71520147791719,0.247470593673247,20,4.03083863323789,0.347513677651169,20,1.49182010733475,1.78960652921429,20,3.62484922941714,1.01832302467697,20,2.27668700913694,4.37987720019422,20,6.7667289233419,6.99322034973208,20,-4.94382611578175,3.36722382193681
21,-11.9981907330978,38.7133689300889,21,-0.777843299770798,0.55279332042173,21,-1.69247117269639,0.244704684148715,21,3.9702751069482,0.334489703048128,21,1.83858395991794,1.78036370849085,21,3.7478345859932,0.892425271617949,21,3.10200309961556,3.82455176149527,21,7.90627260491175,5.84060127108399,21,-4.88395551827427,2.71052200086273
