beta_Tax.ID,beta_Tax.post.mean,beta_Tax.post.sd,b_Smell.ID,b_Smell.post.mean,b_Smell.post.sd,b_Sound.ID,b_Sound.post.mean,b_Sound.post.sd,b_Colour.ID,b_Colour.post.mean,b_Colour.post.sd,b_Deadwood.ID,b_Deadwood.post.mean,b_Deadwood.post.sd,b_Smell2.ID,b_Smell2.post.mean,b_Smell2.post.sd,b_Sound2.ID,b_Sound2.post.mean,b_Sound2.post.sd,b_Colour2.ID,b_Colour2.post.mean,b_Colour2.post.sd,b_Deadwood2.ID,b_Deadwood2.post.mean,b_Deadwood2.post.sd
15,-27.1350821794494,150.92378286985,15,-0.431654519570572,1.08859046001218,15,-1.50129035558211,0.560371244802805,15,3.84233118147556,0.364565403326518,15,1.64932042021592,1.50568200239899,15,3.58367824799616,0.943526338658345,15,3.31137333713924,4.07507837717145,15,8.03058228665499,5.68038346679725,15,-3.84491090174755,4.2008469851169
16,-0.00406783072316158,0.00573774746174566,16,-0.455084060102676,0.994666704529685,16,-1.56310052539098,0.604317941692017,16,3.86739475593395,0.405783063123531,16,1.41343588009877,1.47703420803467,16,3.48526376346877,1.1110601545722,16,2.77045249557665,4.46089662453309,16,6.85714523185443,5.8141740204598,16,-4.78791045926261,4.33184062367796
17,-0.00370922747543272,0.00536756289155076,17,-0.523176545298902,1.00647608755753,17,-1.56024200202118,0.587302372860666,17,3.8485194292671,0.423703360455841,17,1.43948289519411,1.54512173548922,17,3.45454947303031,1.08535108611477,17,2.67257283380525,4.54797951192904,17,6.76454787834985,6.02652388817874,17,-4.83231779426791,4.23326573712161
18,-0.00327511599073327,0.00479070341757843,18,-0.39406437440611,1.05823749982873,18,-1.58387611741602,0.566808585968905,18,3.86116488902191,0.432935969319323,18,1.5135470651797,1.55535262481839,18,3.51093505732456,1.09426528539772,18,2.91399958219215,4.63173164166214,18,7.0967991866258,5.78156107265292,18,-4.55351834336971,4.30800973482234
19,-0.151902885443754,0.0609524858981768,19,-0.365345776708462,1.02384067350716,19,-1.42806467070489,0.571426806868962,19,3.84787282100239,0.421849185209415,19,2.14372163412783,1.64320317934082,19,3.89366692187457,1.12659011927191,19,2.35947820798439,4.40028840545244,19,10.3562877718532,4.10605610306663,19,-2.89257424313122,4.1162779686007
20,-0.00411567564861218,0.00577936227118529,20,-0.464706637763396,1.05738982335982,20,-1.59311378393608,0.576031058693381,20,3.8471702383165,0.431276526358505,20,1.54263517228891,1.53927033692265,20,3.52976656021427,1.11695835297651,20,2.80530568616255,4.69787104980928,20,6.60493772962817,5.8633547559067,20,-4.51372069751874,4.33695051374229
21,-11.1695807130367,38.7457868407025,21,-0.421861354147936,1.04602616659543,21,-1.58913197331609,0.546591101016833,21,3.92563216801989,0.432586945000334,21,1.41453883488682,1.54359677017791,21,3.61243604360808,1.003838120482,21,3.88090183973953,4.11318596150689,21,7.15988488876054,5.14518681286336,21,-4.27599360573287,3.29603277531009
22,-17.4736475111705,43.6252009728897,22,-0.376112495801221,1.14416431789104,22,-1.53950041526669,0.606884203722654,22,3.80468525379733,0.416767322256569,22,1.7226514212184,1.67645379659623,22,3.58662866581729,0.934102029932714,22,3.17175776149763,4.13912767716305,22,6.91669207788024,5.13562690234349,22,-3.72806750714436,3.92226456678953
23,-0.00402614411960715,0.00554414691939316,23,-0.391579939619969,1.10695443754014,23,-1.55534803497872,0.59155865119176,23,3.85131809214036,0.437259336064885,23,1.50260189709561,1.50577242758847,23,3.49512187806797,1.12084681833136,23,2.61263876165763,4.52012871429122,23,6.76365962778528,5.53291826698043,23,-4.89030622457578,4.16619630748653
24,-0.104870217526315,0.047218389111205,24,-0.418068366790386,1.20159327586049,24,-1.54685208090206,0.569937770080172,24,3.94115615124419,0.38913801511388,24,1.5456916774052,1.44255770720778,24,3.69373736900769,0.970590830567539,24,6.05731782900836,3.88532099847495,24,7.93639420129989,5.39452832162871,24,-5.13592135473559,3.85770221796067
